[2024-08-01 11:55:36] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-08-01 11:55:36] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-08-01 11:55:36] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-08-01 11:55:38] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-08-01 11:55:38] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-08-01 11:55:38] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-08-01 11:55:38] [class-ss-setup-task.php:33] Creating archive directory: C:\Users\avorn\Local Sites\fictional-university\app\public/wp-content/uploads\simply-static\temp-files/simply-static-1-1722513336\
[2024-08-01 11:55:38] [class-ss-setup-task.php:72] Adding origin URL to queue: http://fictional-university.local/
[2024-08-01 11:55:38] [class-ss-setup-task.php:145] Adding files from directory: C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\uploads
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\uploads\simply-static\4ca9a474d7a6097c0ab8ec0b003511e3-debug.txt to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/uploads/simply-static/4ca9a474d7a6097c0ab8ec0b003511e3-debug.txt
[2024-08-01 11:55:38] [class-ss-setup-task.php:145] Adding files from directory: C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\index.php to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/index.php
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\mu-plugins\university-post-types.php to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/mu-plugins/university-post-types.php
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\acf.php to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/acf.php
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-dark.css to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/css/acf-dark.css
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-dark.css.map to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/css/acf-dark.css.map
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-dark.min.css to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/css/acf-dark.min.css
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-field-group.css to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/css/acf-field-group.css
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-field-group.css.map to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/css/acf-field-group.css.map
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-field-group.min.css to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/css/acf-field-group.min.css
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-global.css to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/css/acf-global.css
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-global.css.map to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/css/acf-global.css.map
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-global.min.css to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/css/acf-global.min.css
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-input.css to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/css/acf-input.css
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-input.css.map to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/css/acf-input.css.map
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-input.min.css to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/css/acf-input.min.css
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\index.php to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/css/index.php
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\index.php to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/index.php
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\js\acf-escaped-html-notice.js to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/js/acf-escaped-html-notice.js
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\js\acf-escaped-html-notice.js.map to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/js/acf-escaped-html-notice.js.map
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\js\acf-escaped-html-notice.min.js to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/js/acf-escaped-html-notice.min.js
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\js\acf-field-group.js to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/js/acf-field-group.js
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\js\acf-field-group.js.map to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/js/acf-field-group.js.map
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\js\acf-field-group.min.js to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/js/acf-field-group.min.js
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\js\acf-input.js to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/js/acf-input.js
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\js\acf-input.js.map to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/js/acf-input.js.map
[2024-08-01 11:55:38] [class-ss-setup-task.php:150] Adding file C:\Users\avorn\Local Sites\fictional-university\app\public\wp-content\plugins\advanced-custom-fields\assets\build\js\acf-input.min.js to queue as: C:/Users/avorn/Local Sites/fictional-university/app/public/wp-content/plugins/advanced-custom-fields/assets/build/js/acf-input.min.js
